# Word;AdvicedAlternative
# can be used for suggesting a more common word
# TODO: remove doubles
# TODO: remove incorrect spellings after certification of words list
#
artikelenwebsite;artikelwebsite
artsenexamen;artsexamen
asbakkies;asbakjes
asbestziektes;asbestziekten
asfaltpadje;asfaltpaadje
asfaltwegje;asfaltweggetje
asfaltwegjes;asfaltweggetjes
asielcentrums;asielcentra
asielzoekerscentrums;asielzoekerscentra
aslades;asladen
aspergewortelen;aspergewortels
aspirant-ouderen;aspirant-ouders
aspirants;aspiranten
assenbak;asbak
assessors;assessoren
assimilering;assimilatie
associatietesten;associatietests
assortimentskeuzen;assortimentskeuzes
assuranties;assurantiën
asteroïdes;asteroïden
astrofysicussen;astrofysici
atheneums;athenea
atols;atollen
atriums;atria
attachment;aanhangsel
attestering;attestatie
attesteringen;attestaties
attituden;attitudes
audiocassetten;audiocassettes
auditeuren;auditeurs
auditieronden;auditierondes
auditoriums;auditoria
auteursrechtsinbreuk;auteursrechtinbreuk
autobenchen;autobenches
autocrosses;autocrossen
auto-eigenaars;auto-eigenaren
auto-experten;auto-experts
auto-immuunziektes;auto-immuunziekten
auto-interieuren;auto-interieurs
automotors;automotoren
autorisering;autorisatie
autorouten;autoroutes
autoschaden;autoschades
autowaarden;autowaardes
autowasseretten;autowasserettes
avantgardes;avant-gardes
avitaminoses;avitaminosen
avondjapons;avondjaponnen
avondretouren;avondretours
avondspellen;avondspelen
avondwandelinkje;avondwandelingetje
baangedeeltes;baangedeelten
baanlengten;baanlengtes
baardlui;baardmannen
babyartikels;babyartikelen
babypoppetje;babypopje
babypoppetjes;babypopjes
babyruimten;babyruimtes
babysitting;babysitten
babywortelen;babywortels
backhanden;backhands
backstageruimten;backstageruimtes
bacoves;bacoven
bacteriekoloniën;bacteriekolonies
bacteriëncultuur;bacteriecultuur
bacteriënflora;bacterieflora
bacteriëngroei;bacteriegroei
bacteriënpreparaat;bacteriepreparaat
bacterieziektes;bacterieziekten
bacteriocides;bacteriociden
badjufs;badjuffen
badkamerventilators;badkamerventilatoren
badmintonspellen;badmintonspelen
badmintonsterren;badmintonsters
badolies;badoliën
badsponsen;badsponzen
baggermannen;baggerlieden
baggermannen;baggerlui
baggervolumina;baggervolumes
baguetten;baguettes
bakkergist;bakkersgist
bakkersknechts;bakkersknechten
bakkist;bakskist
bakkisten;bakskisten
balanswaardes;balanswaarden
baldakijns;baldakijnen
balkenhout;balkhout
balkenlaag;balklaag
balladen;ballades
ballenspel;balspel
ballensport;balsport
ballenzak;balzak
ballonnenartiest;ballonartiest
ballonnendecoratie;ballondecoratie
ballonnenevenement;ballonevenement
ballonnenfestival;ballonfestival
ballonnenfiguur;ballonfiguur
ballonnenkunst;ballonkunst
ballonnenkunstenaar;ballonkunstenaar
ballonnentocht;ballontocht
ballons;ballonnen
balspellen;balspelen
balustraden;balustrades
balvormig;bolvormig
bamboebladen;bamboebladeren
bamboeblaren;bamboebladeren
bams;bammen
bananenbladen;bananenbladeren
bananenstekker;banaanstekker
bandbreedten;bandbreedtes
bandenafdruk;bandafdruk
bandenafmeting;bandafmeting
bandenafnemer;bandafnemer
bandenbreedte;bandbreedte
bandencomplex;bandcomplex
bandenconstructie;bandconstructie
bandenhandelaars;bandenhandelaren
bandenijzer;bandijzer
bandenkeuzen;bandenkeuzes
bandenkwaliteit;bandkwaliteit
bandenmateriaal;bandmateriaal
bandensnelheid;bandsnelheid
bandensysteem;bandsysteem
bandenwisseling;bandwisseling
bandenzaag;bandzaag
bandmaats;bandmaten
banenbehoud;baanbehoud
banengarantie;baangarantie
banengebruik;baangebruik
banenkans;baankans
banenperspectief;baanperspectief
banenploeg;baanploeg
banenwijziging;baanwijziging
banenwissel;baanwissel
bankdirecteurs;bankdirecteuren
bankenbalans;bankbalans
bankenbeleid;bankbeleid
bankenbestand;bankbestand
bankenboek;bankboek
bankencode;bankcode
bankenconcern;bankconcern
bankencrisissen;bankencrises
bankencultuur;bankcultuur
bankendivisie;bankdivisie
bankendochter;bankdochter
bankenfraude;bankfraude
bankengigant;bankgigant
bankenimperium;bankimperium
bankenindustrie;bankindustrie
bankenkennis;bankkennis
bankenklant;bankklant
